request_id,status,error,e2e_s,ttft_s,mean_itl_s,completion_tokens,concurrency
64000115,ok,,11.693874861113727,8.972000497858971,0.02230884059958282,128,64
64000116,ok,,11.695636308752,8.971868286840618,0.021961938619853988,128,64
64000117,ok,,11.691707201767713,8.876144581940025,0.0226637244096867,128,64
64000118,ok,,11.687906795181334,8.878042289987206,0.022657712121614285,128,64
64000119,ok,,11.683887677732855,8.875068687833846,0.022831240381167187,128,64
64000120,ok,,11.69008969515562,8.875375239178538,0.022690419040079558,128,64
64000121,ok,,11.683451965916902,8.874468094669282,0.02302267434472432,128,64
64000122,ok,,11.686733960174024,8.876473504118621,0.022649440719115156,128,64
64000123,ok,,11.685948686674237,8.876315833069384,0.02264470181938621,128,64
64000124,ok,,11.687074081040919,8.874715336132795,0.02265723978334497,128,64
64000125,ok,,11.69011253491044,8.873196279630065,0.02306196705025972,128,64
64000126,ok,,11.67976643005386,8.871101191267371,0.022638396393778102,128,64
64000127,ok,,11.68226551124826,8.87036412814632,0.022652131771939175,128,64
64000128,ok,,11.675615570973605,8.905774040147662,0.022328917797084055,128,64
64000129,ok,,11.667197393719107,8.945719162933528,0.022305106473170588,128,64
64000130,ok,,11.672018215060234,8.944844399113208,0.02198861599073655,128,64
64000131,ok,,11.671520543284714,8.944623398128897,0.02233798752279311,128,64
64000132,ok,,11.6688376609236,8.943141722120345,0.021959441755297442,128,64
64000133,ok,,11.664816743694246,8.850446179974824,0.022853370721838098,128,64
64000134,ok,,11.6569137792103,8.849291754886508,0.02262814400807744,128,64
64000135,ok,,11.65613913629204,8.846909345127642,0.02300301171289604,128,64
64000136,ok,,11.653759935870767,8.8469332838431,0.02263313653172865,128,64
64000137,ok,,11.661568680312485,8.846225262153894,0.022868998185920763,128,64
64000138,ok,,11.655122011899948,8.842976748012006,0.022641127613643484,128,64
64000139,ok,,11.655769404955208,8.841477131005377,0.02267631462159296,128,64
64000140,ok,,11.65484495088458,8.843357649166137,0.022847439965036343,128,64
64000141,ok,,11.648211862426251,8.842276994138956,0.022996633737271684,128,64
64000142,ok,,11.654157757759094,8.840079614892602,0.023060846310414253,128,64
64000143,ok,,11.646683985833079,8.83821277692914,0.022635980257614246,128,64
64000144,ok,,11.639206232037395,8.868560427799821,0.022517272108423757,128,64
64000145,ok,,11.640820737928152,8.911528463941067,0.02198745429350604,128,64
64000146,ok,,11.636907682288438,8.911566254217178,0.02215474045540138,128,64
64000147,ok,,11.636647150386125,8.90973281627521,0.021976171095194594,128,64
64000148,ok,,11.636638490948826,8.907533866818994,0.022002386210876846,128,64
64000149,ok,,11.643706621136516,8.818589011207223,0.022765245483887774,128,64
64000150,ok,,11.643925182055682,8.814158071298152,0.022780898458985312,128,64
64000151,ok,,11.643907533027232,8.812459505163133,0.023198529524484375,128,64
64000152,ok,,11.64111465960741,8.81196807185188,0.02315920526085452,128,64
64000153,ok,,11.644398814067245,8.810613695997745,0.02319469197546361,128,64
64000154,ok,,11.637329454068094,8.810391426086426,0.022795707637053585,128,64
64000155,ok,,11.64009739505127,8.810114403720945,0.0231606916555005,128,64
64000156,ok,,11.643069468904287,8.810182044748217,0.02284375800856299,128,64
64000157,ok,,11.632564422674477,8.807203880976886,0.022783011855227093,128,64
64000158,ok,,11.633910208940506,8.807484992779791,0.0231487266070469,128,64
64000159,ok,,11.63695361232385,8.805127252358943,0.02319307385210986,128,64
64000160,ok,,11.632348030805588,8.853108619805425,0.022593114960454103,128,64
64000161,ok,,11.638906098902225,8.915035318117589,0.02194333304801295,128,64
64000162,ok,,11.632301771081984,8.912945699878037,0.022287405985331195,128,64
64000163,ok,,11.633554095868021,8.910785358864814,0.022301475887690655,128,64
64000164,ok,,11.63360806601122,8.91000704606995,0.021952770030756873,128,64
64000165,ok,,11.645286256913096,8.828344551846385,0.022714725436432468,128,64
64000166,ok,,11.645348387770355,8.826926127076149,0.023043721803601404,128,64
64000167,ok,,11.640764867886901,8.825744600966573,0.02268230085516529,128,64
64000168,ok,,11.634988551959395,8.825120778288692,0.022657741473296716,128,64
64000169,ok,,11.645523528102785,8.827034826856107,0.02290171491194183,128,64
64000170,ok,,11.6369876912795,8.823886053171009,0.023042080000226128,128,64
64000171,ok,,11.637251513078809,8.825402200222015,0.022657505908770668,128,64
64000172,ok,,11.642829196993262,8.824745406862348,0.022708175643797842,128,64
64000173,ok,,11.63663320010528,8.823015349917114,0.023043981722754535,128,64
64000174,ok,,11.637514452915639,8.821901344694197,0.0226726824222433,128,64
64000175,ok,,11.6343556297943,8.820015716832131,0.022676469292491674,128,64
64000176,ok,,11.646211329847574,8.862351219169796,0.022398582603331777,128,64
64000177,ok,,11.648133137729019,8.915191537700593,0.022026253897967116,128,64
64000178,ok,,11.642204273026437,8.91233683610335,0.02201193971784725,128,64
64000179,ok,,11.640899926889688,8.910694298800081,0.022005069201000996,128,64
64000180,ok,,11.641051578335464,8.908922281116247,0.022030828749730943,128,64
64000181,ok,,11.671580069698393,8.830481190700084,0.023271684508129466,128,64
64000182,ok,,11.679179253056645,8.82681689504534,0.023364282049024937,128,64
64000183,ok,,11.673362858127803,8.828974024392664,0.022920524787848756,128,64
64000184,ok,,11.6690022489056,8.824193053878844,0.022925676582681555,128,64
